Longitud,Latitud,Valor
-63.13500,-17.64500,23.80000
-63.17100,-17.81200,25.10000
-60.75000,-17.83300,27.70000
-67.07600,-17.96300,11.90000
-70.27600,-18.05300,18.00000
-59.75000,-18.31700,26.70000
-70.33300,-18.35000,19.10000
-64.10000,-18.46700,18.40000
-48.21700,-18.88300,21.60000
-57.82100,-18.97500,27.40000
-65.28900,-19.00700,15.70000
-57.50000,-19.08300,27.10000
-59.36700,-19.53300,27.10000
-65.72400,-19.54300,10.30000
-43.96900,-19.63400,21.00000
-43.88300,-19.65000,23.10000
-63.91700,-19.78300,22.80000
-43.91700,-19.83300,21.00000
-63.56700,-20.05000,23.20000
-58.16700,-20.23000,26.70000
-70.18100,-20.53500,18.50000
-63.40600,-21.25500,24.70000
-64.70000,-21.55000,19.00000
-41.30200,-21.69800,25.70000
-43.35000,-21.76700,21.20000
-63.65000,-21.95000,22.90000
-47.33300,-21.98300,22.80000
-60.60000,-22.01700,25.60000
-65.60000,-22.10000,10.60000
-51.38300,-22.11700,23.70000
-57.93300,-22.28300,25.80000
-49.11700,-22.31700,23.10000
-61.55000,-22.55000,25.70000
-55.83300,-22.60000,23.00000
-63.79400,-22.62000,21.80000
-45.20000,-22.78300,23.70000
-43.24400,-22.80900,24.30000
-47.13300,-23.00000,21.40000
-45.56700,-23.01700,22.10000
-64.32900,-23.15300,22.10000
-45.85000,-23.21700,20.90000
-51.13300,-23.33300,22.40000
-57.41700,-23.43000,24.20000
-46.46700,-23.43300,25.10000
-70.45000,-23.43300,16.60000
-58.78300,-23.50000,25.00000
-46.65000,-23.61700,20.30000
-54.35000,-24.03300,23.70000
-57.08300,-24.06700,24.20000
-65.09800,-24.39300,19.20000
-56.43300,-24.66700,24.10000
-60.58300,-24.70000,23.80000
-58.83300,-24.75000,24.20000
-65.48300,-24.85000,17.00000
